id,number,stree,town
331,31,Tressillian Road,Leeds
332,32,Tressillian Road,Leeds
333,33,Tressillian Road,Leeds
334,34,Tressillian Road,Leeds
335,35,Tressillian Road,Leeds
336,36,Tressillian Road,Leeds
337,37,Tressillian Road,Leeds
338,38,Tressillian Road,Leeds
339,39,Tressillian Road,Leeds
340,40,Tressillian Road,Leeds
341,41,Tressillian Road,Leeds
342,42,Tressillian Road,Leeds
343,43,Tressillian Road,Leeds
344,44,Tressillian Road,Leeds
345,45,Tressillian Road,Leeds
346,46,Tressillian Road,Leeds
347,47,Tressillian Road,Leeds
348,48,Tressillian Road,Leeds
349,49,Tressillian Road,Leeds
350,50,Tressillian Road,Leeds
351,51,Tressillian Road,Leeds
352,52,Tressillian Road,Leeds
353,53,Tressillian Road,Leeds
354,54,Tressillian Road,Leeds
355,55,Tressillian Road,Leeds
356,56,Tressillian Road,Leeds
357,57,Tressillian Road,Leeds
358,58,Tressillian Road,Leeds
359,59,Tressillian Road,Leeds
360,60,Tressillian Road,Leeds
361,61,Tressillian Road,Leeds
362,62,Tressillian Road,Leeds
363,63,Tressillian Road,Leeds
364,64,Tressillian Road,Leeds
365,65,Tressillian Road,Leeds
366,66,Tressillian Road,Leeds
367,67,Tressillian Road,Leeds
368,68,Tressillian Road,Leeds
369,69,Tressillian Road,Leeds
370,70,Tressillian Road,Leeds
371,71,Tressillian Road,Leeds
372,72,Tressillian Road,Leeds
373,73,Tressillian Road,Leeds
374,74,Tressillian Road,Leeds
375,75,Tressillian Road,Leeds
376,76,Tressillian Road,Leeds
377,77,Tressillian Road,Leeds
378,78,Tressillian Road,Leeds
379,79,Tressillian Road,Leeds
380,80,Tressillian Road,Leeds
381,81,Tressillian Road,Leeds
382,82,Tressillian Road,Leeds
383,83,Tressillian Road,Leeds
384,84,Tressillian Road,Leeds
385,85,Tressillian Road,Leeds
386,86,Tressillian Road,Leeds
387,87,Tressillian Road,Leeds
388,88,Tressillian Road,Leeds
389,89,Tressillian Road,Leeds
390,90,Tressillian Road,Leeds
391,91,Tressillian Road,Leeds
392,92,Tressillian Road,Leeds
393,93,Tressillian Road,Leeds
394,94,Tressillian Road,Leeds
395,95,Tressillian Road,Leeds
396,96,Tressillian Road,Leeds
397,97,Tressillian Road,Leeds
398,98,Tressillian Road,Leeds
399,99,Tressillian Road,Leeds
400,100,Tressillian Road,Leeds
401,1,Tressillian Road,Manchester
402,2,Tressillian Road,Manchester
403,3,Tressillian Road,Manchester
404,4,Tressillian Road,Manchester
405,5,Tressillian Road,Manchester
406,6,Tressillian Road,Manchester
407,7,Tressillian Road,Manchester
408,8,Tressillian Road,Manchester
409,9,Tressillian Road,Manchester
410,10,Tressillian Road,Manchester
411,11,Tressillian Road,Manchester
412,12,Tressillian Road,Manchester
413,13,Tressillian Road,Manchester
414,14,Tressillian Road,Manchester
415,15,Tressillian Road,Manchester
416,16,Tressillian Road,Manchester
417,17,Tressillian Road,Manchester
418,18,Tressillian Road,Manchester
419,19,Tressillian Road,Manchester
420,20,Tressillian Road,Manchester
421,21,Tressillian Road,Manchester
422,22,Tressillian Road,Manchester
423,23,Tressillian Road,Manchester
424,24,Tressillian Road,Manchester
425,25,Tressillian Road,Manchester
426,26,Tressillian Road,Manchester
427,27,Tressillian Road,Manchester
428,28,Tressillian Road,Manchester
429,29,Tressillian Road,Manchester
430,30,Tressillian Road,Manchester
431,31,Tressillian Road,Manchester
432,32,Tressillian Road,Manchester
433,33,Tressillian Road,Manchester
434,34,Tressillian Road,Manchester
435,35,Tressillian Road,Manchester
436,36,Tressillian Road,Manchester
437,37,Tressillian Road,Manchester
438,38,Tressillian Road,Manchester
439,39,Tressillian Road,Manchester
440,40,Tressillian Road,Manchester
441,41,Tressillian Road,Manchester
442,42,Tressillian Road,Manchester
443,43,Tressillian Road,Manchester
444,44,Tressillian Road,Manchester
445,45,Tressillian Road,Manchester
446,46,Tressillian Road,Manchester
447,47,Tressillian Road,Manchester
448,48,Tressillian Road,Manchester
449,49,Tressillian Road,Manchester
450,50,Tressillian Road,Manchester
451,51,Tressillian Road,Manchester
452,52,Tressillian Road,Manchester
453,53,Tressillian Road,Manchester
454,54,Tressillian Road,Manchester
455,55,Tressillian Road,Manchester
456,56,Tressillian Road,Manchester
457,57,Tressillian Road,Manchester
458,58,Tressillian Road,Manchester
459,59,Tressillian Road,Manchester
460,60,Tressillian Road,Manchester
461,61,Tressillian Road,Manchester
462,62,Tressillian Road,Manchester
463,63,Tressillian Road,Manchester
464,64,Tressillian Road,Manchester
465,65,Tressillian Road,Manchester
466,66,Tressillian Road,Manchester
467,67,Tressillian Road,Manchester
468,68,Tressillian Road,Manchester
469,69,Tressillian Road,Manchester
470,70,Tressillian Road,Manchester
471,71,Tressillian Road,Manchester
472,72,Tressillian Road,Manchester
473,73,Tressillian Road,Manchester
474,74,Tressillian Road,Manchester
475,75,Tressillian Road,Manchester
476,76,Tressillian Road,Manchester
477,77,Tressillian Road,Manchester
478,78,Tressillian Road,Manchester
479,79,Tressillian Road,Manchester
480,80,Tressillian Road,Manchester
481,81,Tressillian Road,Manchester
482,82,Tressillian Road,Manchester
483,83,Tressillian Road,Manchester
484,84,Tressillian Road,Manchester
485,85,Tressillian Road,Manchester
486,86,Tressillian Road,Manchester
487,87,Tressillian Road,Manchester
488,88,Tressillian Road,Manchester
489,89,Tressillian Road,Manchester
490,90,Tressillian Road,Manchester
491,91,Tressillian Road,Manchester
492,92,Tressillian Road,Manchester
493,93,Tressillian Road,Manchester
494,94,Tressillian Road,Manchester
495,95,Tressillian Road,Manchester
496,96,Tressillian Road,Manchester
497,97,Tressillian Road,Manchester
498,98,Tressillian Road,Manchester
499,99,Tressillian Road,Manchester
500,100,Tressillian Road,Manchester
501,1,Penny Lane,London
502,2,Penny Lane,London
503,3,Penny Lane,London
504,4,Penny Lane,London
505,5,Penny Lane,London
506,6,Penny Lane,London
507,7,Penny Lane,London
508,8,Penny Lane,London
509,9,Penny Lane,London
510,10,Penny Lane,London
511,11,Penny Lane,London
512,12,Penny Lane,London
513,13,Penny Lane,London
514,14,Penny Lane,London
515,15,Penny Lane,London
516,16,Penny Lane,London
517,17,Penny Lane,London
518,18,Penny Lane,London
519,19,Penny Lane,London
520,20,Penny Lane,London
521,21,Penny Lane,London
522,22,Penny Lane,London
523,23,Penny Lane,London
524,24,Penny Lane,London
525,25,Penny Lane,London
526,26,Penny Lane,London
527,27,Penny Lane,London
528,28,Penny Lane,London
529,29,Penny Lane,London
530,30,Penny Lane,London
531,31,Penny Lane,London
532,32,Penny Lane,London
533,33,Penny Lane,London
534,34,Penny Lane,London
535,35,Penny Lane,London
536,36,Penny Lane,London
537,37,Penny Lane,London
538,38,Penny Lane,London
539,39,Penny Lane,London
540,40,Penny Lane,London
541,41,Penny Lane,London
542,42,Penny Lane,London
543,43,Penny Lane,London
544,44,Penny Lane,London
545,45,Penny Lane,London
546,46,Penny Lane,London
547,47,Penny Lane,London
548,48,Penny Lane,London
549,49,Penny Lane,London
550,50,Penny Lane,London
551,51,Penny Lane,London
552,52,Penny Lane,London
553,53,Penny Lane,London
554,54,Penny Lane,London
555,55,Penny Lane,London
556,56,Penny Lane,London
557,57,Penny Lane,London
558,58,Penny Lane,London
559,59,Penny Lane,London
560,60,Penny Lane,London
561,61,Penny Lane,London
562,62,Penny Lane,London
563,63,Penny Lane,London
564,64,Penny Lane,London
565,65,Penny Lane,London
566,66,Penny Lane,London
567,67,Penny Lane,London
568,68,Penny Lane,London
569,69,Penny Lane,London
570,70,Penny Lane,London
571,71,Penny Lane,London
572,72,Penny Lane,London
573,73,Penny Lane,London
574,74,Penny Lane,London
575,75,Penny Lane,London
576,76,Penny Lane,London
577,77,Penny Lane,London
578,78,Penny Lane,London
579,79,Penny Lane,London
580,80,Penny Lane,London
581,81,Penny Lane,London
582,82,Penny Lane,London
583,83,Penny Lane,London
584,84,Penny Lane,London
585,85,Penny Lane,London
586,86,Penny Lane,London
587,87,Penny Lane,London
588,88,Penny Lane,London
589,89,Penny Lane,London
590,90,Penny Lane,London
591,91,Penny Lane,London
592,92,Penny Lane,London
593,93,Penny Lane,London
594,94,Penny Lane,London
595,95,Penny Lane,London
596,96,Penny Lane,London
597,97,Penny Lane,London
598,98,Penny Lane,London
599,99,Penny Lane,London
600,100,Penny Lane,London
601,1,Penny Lane,Liverpool
602,2,Penny Lane,Liverpool
603,3,Penny Lane,Liverpool
604,4,Penny Lane,Liverpool
605,5,Penny Lane,Liverpool
606,6,Penny Lane,Liverpool
607,7,Penny Lane,Liverpool
608,8,Penny Lane,Liverpool
609,9,Penny Lane,Liverpool
610,10,Penny Lane,Liverpool
611,11,Penny Lane,Liverpool
612,12,Penny Lane,Liverpool
613,13,Penny Lane,Liverpool
614,14,Penny Lane,Liverpool
615,15,Penny Lane,Liverpool
616,16,Penny Lane,Liverpool
617,17,Penny Lane,Liverpool
618,18,Penny Lane,Liverpool
619,19,Penny Lane,Liverpool
620,20,Penny Lane,Liverpool
621,21,Penny Lane,Liverpool
622,22,Penny Lane,Liverpool
623,23,Penny Lane,Liverpool
624,24,Penny Lane,Liverpool
625,25,Penny Lane,Liverpool
626,26,Penny Lane,Liverpool
627,27,Penny Lane,Liverpool
628,28,Penny Lane,Liverpool
629,29,Penny Lane,Liverpool
630,30,Penny Lane,Liverpool
631,31,Penny Lane,Liverpool
632,32,Penny Lane,Liverpool
633,33,Penny Lane,Liverpool
634,34,Penny Lane,Liverpool
635,35,Penny Lane,Liverpool
636,36,Penny Lane,Liverpool
637,37,Penny Lane,Liverpool
638,38,Penny Lane,Liverpool
639,39,Penny Lane,Liverpool
640,40,Penny Lane,Liverpool
641,41,Penny Lane,Liverpool
642,42,Penny Lane,Liverpool
643,43,Penny Lane,Liverpool
644,44,Penny Lane,Liverpool
645,45,Penny Lane,Liverpool
646,46,Penny Lane,Liverpool
647,47,Penny Lane,Liverpool
648,48,Penny Lane,Liverpool
649,49,Penny Lane,Liverpool
650,50,Penny Lane,Liverpool
651,51,Penny Lane,Liverpool
652,52,Penny Lane,Liverpool
653,53,Penny Lane,Liverpool
654,54,Penny Lane,Liverpool
655,55,Penny Lane,Liverpool
656,56,Penny Lane,Liverpool
657,57,Penny Lane,Liverpool
658,58,Penny Lane,Liverpool
659,59,Penny Lane,Liverpool
660,60,Penny Lane,Liverpool
661,61,Penny Lane,Liverpool
662,62,Penny Lane,Liverpool
663,63,Penny Lane,Liverpool
664,64,Penny Lane,Liverpool
665,65,Penny Lane,Liverpool
666,66,Penny Lane,Liverpool
667,67,Penny Lane,Liverpool
668,68,Penny Lane,Liverpool
669,69,Penny Lane,Liverpool
670,70,Penny Lane,Liverpool
671,71,Penny Lane,Liverpool
672,72,Penny Lane,Liverpool
673,73,Penny Lane,Liverpool
674,74,Penny Lane,Liverpool
675,75,Penny Lane,Liverpool
676,76,Penny Lane,Liverpool
677,77,Penny Lane,Liverpool
678,78,Penny Lane,Liverpool
679,79,Penny Lane,Liverpool
680,80,Penny Lane,Liverpool
681,81,Penny Lane,Liverpool
682,82,Penny Lane,Liverpool
683,83,Penny Lane,Liverpool
684,84,Penny Lane,Liverpool
685,85,Penny Lane,Liverpool
686,86,Penny Lane,Liverpool
687,87,Penny Lane,Liverpool
688,88,Penny Lane,Liverpool
689,89,Penny Lane,Liverpool
690,90,Penny Lane,Liverpool
691,91,Penny Lane,Liverpool
692,92,Penny Lane,Liverpool
693,93,Penny Lane,Liverpool
694,94,Penny Lane,Liverpool
695,95,Penny Lane,Liverpool
696,96,Penny Lane,Liverpool
697,97,Penny Lane,Liverpool
698,98,Penny Lane,Liverpool
699,99,Penny Lane,Liverpool
700,100,Penny Lane,Liverpool
701,1,Penny Lane,York
702,2,Penny Lane,York
703,3,Penny Lane,York
704,4,Penny Lane,York
705,5,Penny Lane,York
706,6,Penny Lane,York
707,7,Penny Lane,York
708,8,Penny Lane,York
709,9,Penny Lane,York
710,10,Penny Lane,York
711,11,Penny Lane,York
712,12,Penny Lane,York
713,13,Penny Lane,York
714,14,Penny Lane,York
715,15,Penny Lane,York
716,16,Penny Lane,York
717,17,Penny Lane,York
718,18,Penny Lane,York
719,19,Penny Lane,York
720,20,Penny Lane,York
721,21,Penny Lane,York
722,22,Penny Lane,York
723,23,Penny Lane,York
724,24,Penny Lane,York
725,25,Penny Lane,York
726,26,Penny Lane,York
727,27,Penny Lane,York
728,28,Penny Lane,York
729,29,Penny Lane,York
730,30,Penny Lane,York
731,31,Penny Lane,York
732,32,Penny Lane,York
733,33,Penny Lane,York
734,34,Penny Lane,York
735,35,Penny Lane,York
736,36,Penny Lane,York
737,37,Penny Lane,York
738,38,Penny Lane,York
739,39,Penny Lane,York
740,40,Penny Lane,York
741,41,Penny Lane,York
742,42,Penny Lane,York
743,43,Penny Lane,York
744,44,Penny Lane,York
745,45,Penny Lane,York
746,46,Penny Lane,York
747,47,Penny Lane,York
748,48,Penny Lane,York
749,49,Penny Lane,York
750,50,Penny Lane,York
751,51,Penny Lane,York
752,52,Penny Lane,York
753,53,Penny Lane,York
754,54,Penny Lane,York
755,55,Penny Lane,York
756,56,Penny Lane,York
757,57,Penny Lane,York
758,58,Penny Lane,York
759,59,Penny Lane,York
760,60,Penny Lane,York
761,61,Penny Lane,York
762,62,Penny Lane,York
763,63,Penny Lane,York
764,64,Penny Lane,York
765,65,Penny Lane,York
766,66,Penny Lane,York
767,67,Penny Lane,York
768,68,Penny Lane,York
769,69,Penny Lane,York
770,70,Penny Lane,York
771,71,Penny Lane,York
772,72,Penny Lane,York
773,73,Penny Lane,York
774,74,Penny Lane,York
775,75,Penny Lane,York
776,76,Penny Lane,York
777,77,Penny Lane,York
778,78,Penny Lane,York
779,79,Penny Lane,York
780,80,Penny Lane,York
781,81,Penny Lane,York
782,82,Penny Lane,York
783,83,Penny Lane,York
784,84,Penny Lane,York
785,85,Penny Lane,York
786,86,Penny Lane,York
787,87,Penny Lane,York
788,88,Penny Lane,York
789,89,Penny Lane,York
790,90,Penny Lane,York
791,91,Penny Lane,York
792,92,Penny Lane,York
793,93,Penny Lane,York
794,94,Penny Lane,York
795,95,Penny Lane,York
796,96,Penny Lane,York
797,97,Penny Lane,York
798,98,Penny Lane,York
799,99,Penny Lane,York
800,100,Penny Lane,York
801,1,Penny Lane,Leeds
802,2,Penny Lane,Leeds
803,3,Penny Lane,Leeds
804,4,Penny Lane,Leeds
805,5,Penny Lane,Leeds
806,6,Penny Lane,Leeds
807,7,Penny Lane,Leeds
808,8,Penny Lane,Leeds
809,9,Penny Lane,Leeds
810,10,Penny Lane,Leeds
811,11,Penny Lane,Leeds
812,12,Penny Lane,Leeds
813,13,Penny Lane,Leeds
814,14,Penny Lane,Leeds
815,15,Penny Lane,Leeds
816,16,Penny Lane,Leeds
817,17,Penny Lane,Leeds
818,18,Penny Lane,Leeds
819,19,Penny Lane,Leeds
820,20,Penny Lane,Leeds
821,21,Penny Lane,Leeds
822,22,Penny Lane,Leeds
823,23,Penny Lane,Leeds
824,24,Penny Lane,Leeds
825,25,Penny Lane,Leeds
826,26,Penny Lane,Leeds
827,27,Penny Lane,Leeds
828,28,Penny Lane,Leeds
829,29,Penny Lane,Leeds
830,30,Penny Lane,Leeds
831,31,Penny Lane,Leeds
832,32,Penny Lane,Leeds
833,33,Penny Lane,Leeds
834,34,Penny Lane,Leeds
835,35,Penny Lane,Leeds
836,36,Penny Lane,Leeds
837,37,Penny Lane,Leeds
838,38,Penny Lane,Leeds
839,39,Penny Lane,Leeds
840,40,Penny Lane,Leeds
841,41,Penny Lane,Leeds
842,42,Penny Lane,Leeds
843,43,Penny Lane,Leeds
844,44,Penny Lane,Leeds
845,45,Penny Lane,Leeds
846,46,Penny Lane,Leeds
847,47,Penny Lane,Leeds
848,48,Penny Lane,Leeds
849,49,Penny Lane,Leeds
850,50,Penny Lane,Leeds
851,51,Penny Lane,Leeds
852,52,Penny Lane,Leeds
853,53,Penny Lane,Leeds
854,54,Penny Lane,Leeds
855,55,Penny Lane,Leeds
856,56,Penny Lane,Leeds
857,57,Penny Lane,Leeds
858,58,Penny Lane,Leeds
859,59,Penny Lane,Leeds
860,60,Penny Lane,Leeds
861,61,Penny Lane,Leeds
862,62,Penny Lane,Leeds
863,63,Penny Lane,Leeds
864,64,Penny Lane,Leeds
865,65,Penny Lane,Leeds
866,66,Penny Lane,Leeds
867,67,Penny Lane,Leeds
868,68,Penny Lane,Leeds
869,69,Penny Lane,Leeds
870,70,Penny Lane,Leeds
871,71,Penny Lane,Leeds
872,72,Penny Lane,Leeds
873,73,Penny Lane,Leeds
874,74,Penny Lane,Leeds
875,75,Penny Lane,Leeds
876,76,Penny Lane,Leeds
877,77,Penny Lane,Leeds
878,78,Penny Lane,Leeds
879,79,Penny Lane,Leeds
880,80,Penny Lane,Leeds
881,81,Penny Lane,Leeds
882,82,Penny Lane,Leeds
883,83,Penny Lane,Leeds
884,84,Penny Lane,Leeds
885,85,Penny Lane,Leeds
886,86,Penny Lane,Leeds
887,87,Penny Lane,Leeds
888,88,Penny Lane,Leeds
889,89,Penny Lane,Leeds
890,90,Penny Lane,Leeds
891,91,Penny Lane,Leeds
892,92,Penny Lane,Leeds
893,93,Penny Lane,Leeds
894,94,Penny Lane,Leeds
895,95,Penny Lane,Leeds
896,96,Penny Lane,Leeds
897,97,Penny Lane,Leeds
898,98,Penny Lane,Leeds
899,99,Penny Lane,Leeds
900,100,Penny Lane,Leeds
901,1,Penny Lane,Manchester
902,2,Penny Lane,Manchester
903,3,Penny Lane,Manchester
904,4,Penny Lane,Manchester
905,5,Penny Lane,Manchester
